time,SupportSum,CommentSum,RepostSum,CovidSum,WeiboSum,CovidPrecent,AverageSupport,AverageComment,AverageRepost,CommSupportRatio,RepoSupportRatio
01-20,9411561,386501,481484,22,43,0.5116279069767442,218873.51162790696,8988.39534883721,11197.302325581395,0.04106662008565848,0.051158782267893714
01-21,7883133,402837,255843,45,64,0.703125,123173.953125,6294.328125,3997.546875,0.051101129462105994,0.032454482247096426
01-22,8822457,523994,11165213,47,72,0.6527777777777778,122534.125,7277.694444444444,155072.40277777778,0.05939320531684088,1.2655446209598982
01-23,11178694,637799,596673,61,81,0.7530864197530864,138008.56790123458,7874.061728395061,7366.333333333333,0.05705487599893154,0.05337591314334215
01-24,13640049,1011990,2694977,94,126,0.746031746031746,108254.35714285714,8031.666666666667,21388.70634920635,0.07419254872178245,0.19757824916904623
01-25,13836595,775481,428385,102,121,0.8429752066115702,114352.02479338842,6408.93388429752,3540.371900826446,0.05604565285028578,0.030960290447180103
01-26,20400171,1068477,663961,96,105,0.9142857142857143,194287.34285714285,10175.971428571429,6323.438095238095,0.052375884496262314,0.032546835024078964
01-27,15169655,958482,520625,112,128,0.875,118512.9296875,7488.140625,4067.3828125,0.06318416602091478,0.034320160873797065
01-28,5994635,310823,226639,96,104,0.9230769230769231,57640.721153846156,2988.6826923076924,2179.221153846154,0.051850196050301646,0.03780697240115537
01-29,8121108,506967,327617,108,121,0.8925619834710744,67116.59504132232,4189.809917355372,2707.5785123966944,0.062425841399966604,0.04034141646681709
01-30,6588765,468750,248546,82,90,0.9111111111111111,73208.5,5208.333333333333,2761.6222222222223,0.07114383348017421,0.03772269917048187
01-31,9334776,403382,231046,70,82,0.8536585365853658,113838.73170731707,4919.292682926829,2817.6341463414633,0.04321282053259767,0.024751102758116532
02-01,19073925,696065,416126,70,86,0.813953488372093,221789.82558139536,8093.779069767442,4838.674418604651,0.036493013367725834,0.021816485070587203
02-02,8807104,337613,363383,77,94,0.8191489361702128,93692.59574468085,3591.627659574468,3865.776595744681,0.03833416750841139,0.04126021448140047
02-03,5123634,336375,242409,44,62,0.7096774193548387,82639.25806451614,5425.403225806452,3909.8225806451615,0.0656516449067205,0.04731192743275574
02-04,3108869,224165,133128,67,76,0.881578947368421,40906.17105263158,2949.5394736842104,1751.6842105263158,0.07210500024285359,0.04282200375763662
02-05,4379524,253841,229273,52,61,0.8524590163934426,71795.47540983607,4161.327868852459,3758.5737704918033,0.05796086515338197,0.05235112309008924
02-06,6459532,459897,263430,42,59,0.711864406779661,109483.59322033898,7794.864406779661,4464.9152542372885,0.07119664396739578,0.04078159222680529
02-07,5499042,495235,351006,64,74,0.8648648648648649,74311.37837837837,6692.364864864865,4743.324324324324,0.09005841381098745,0.06383039082080115
02-08,2794554,186876,184433,55,71,0.7746478873239436,39359.91549295775,2632.056338028169,2597.6478873239435,0.06687149362653218,0.06599729330691051
02-09,6812965,299491,213514,39,53,0.7358490566037735,128546.50943396226,5650.773584905661,4028.566037735849,0.04395898114844271,0.03133936545982549
02-10,2899166,209552,123882,36,48,0.75,60399.291666666664,4365.666666666667,2580.875,0.07228009710378779,0.04273021965627356
02-11,3202921,263479,179867,40,49,0.8163265306122449,65365.73469387755,5377.122448979592,3670.7551020408164,0.08226209762900802,0.05615717652730117
02-12,1995604,150647,122965,55,70,0.7857142857142857,28508.628571428573,2152.1,1756.642857142857,0.07548942575781568,0.061617936223819954
02-13,5417753,380184,2453175,57,66,0.8636363636363636,82087.16666666667,5760.363636363636,37169.318181818184,0.07017374177080424,0.4528030347636742
02-14,3061789,214548,133639,38,51,0.7450980392156863,60035.07843137255,4206.823529411765,2620.372549019608,0.07007275811625165,0.04364735780290543
02-15,2055484,140887,98964,59,73,0.8082191780821918,28157.31506849315,1929.958904109589,1355.6712328767123,0.06854200762448164,0.048146324661247665
02-16,3378523,197325,188046,61,70,0.8714285714285714,48264.614285714284,2818.9285714285716,2686.3714285714286,0.058405699768804296,0.0556592333395392
02-17,2138972,134108,99100,39,51,0.7647058823529411,41940.62745098039,2629.5686274509803,1943.137254901961,0.06269740791370808,0.046330667255111334
02-18,1251922,99758,89283,31,42,0.7380952380952381,29807.666666666668,2375.190476190476,2125.785714285714,0.07968387806908098,0.071316743375386
02-19,1693568,116852,103187,27,39,0.6923076923076923,43424.820512820515,2996.2051282051284,2645.8205128205127,0.06899752475247525,0.06092876105358627
02-20,3191438,223233,217688,51,74,0.6891891891891891,43127.54054054054,3016.662162162162,2941.7297297297296,0.06994746568788114,0.06821000439300404
02-21,1783167,139416,67335,44,54,0.8148148148148148,33021.61111111111,2581.777777777778,1246.9444444444443,0.07818448860931142,0.037761465975985425
02-22,1015756,77896,56465,38,50,0.76,20315.12,1557.92,1129.3,0.07668770846541886,0.0555891375487814
02-23,1787398,178450,207388,60,71,0.8450704225352113,25174.61971830986,2513.3802816901407,2920.957746478873,0.09983786487396763,0.11602787963285177
02-24,2465365,142926,119980,67,82,0.8170731707317073,30065.426829268294,1743,1463.1707317073171,0.05797356578032056,0.048666221837334434
02-25,1357495,112021,65920,57,68,0.8382352941176471,19963.16176470588,1647.3676470588234,969.4117647058823,0.082520377607284,0.04856003152866125
02-26,2262351,151645,81839,39,52,0.75,43506.75,2916.25,1573.826923076923,0.06702982870474122,0.036174316010203544
02-27,3467098,214375,111750,40,56,0.7142857142857143,61912.46428571428,3828.125,1995.5357142857142,0.06183124907343259,0.03223156657238994
02-28,1177522,112005,55751,62,80,0.775,14719.025,1400.0625,696.8875,0.09511924193348405,0.04734603684686995
02-29,1114373,113657,70332,59,66,0.8939393939393939,16884.439393939392,1722.0757575757575,1065.6363636363637,0.10199188243074805,0.06311351764624591
03-01,2289906,134601,155041,29,41,0.7073170731707317,55851.365853658535,3282.951219512195,3781.487804878049,0.05878014206696694,0.06770627265922706
03-02,1804486,157304,155980,53,68,0.7794117647058824,26536.558823529413,2313.294117647059,2293.823529411765,0.08717385449374504,0.08644012754878674
03-03,2366964,162931,107728,66,75,0.88,31559.52,2172.4133333333334,1436.3733333333332,0.06883543644939255,0.04551315524866453
03-04,1356351,127210,48996,57,66,0.8636363636363636,20550.772727272728,1927.4242424242425,742.3636363636364,0.09378840727805708,0.0361233928385794
03-05,922408,67854,93436,33,47,0.7021276595744681,19625.702127659573,1443.7021276595744,1988,0.07356180779004519,0.10129573897884667
03-06,643577,72496,279806,34,48,0.7083333333333334,13407.854166666666,1510.3333333333333,5829.291666666667,0.11264541772002418,0.43476693542497635
03-07,1919565,84477,126085,46,68,0.6764705882352942,28228.897058823528,1242.3088235294117,1854.1911764705883,0.04400840815497261,0.06568415239911125
03-08,1666674,120573,296938,47,63,0.746031746031746,26455.14285714286,1913.857142857143,4713.3015873015875,0.07234348168868057,0.17816201608712923
03-09,1145360,90614,251370,29,47,0.6170212765957447,24369.36170212766,1927.9574468085107,5348.297872340426,0.07911399036110917,0.21946811482852552
03-10,910286,85800,1151795,40,55,0.7272727272727273,16550.654545454545,1560,20941.727272727272,0.09425609094284654,1.26531112199902
03-11,5452741,283916,2403677,56,68,0.8235294117647058,80187.36764705883,4175.235294117647,35348.19117647059,0.052068491791559514,0.44081994725221685
03-12,2023928,181082,193831,53,73,0.726027397260274,27725.04109589041,2480.5753424657532,2655.219178082192,0.08947057405204138,0.09576971117549636
03-13,2032475,119950,372877,38,50,0.76,40649.5,2399,7457.54,0.05901671607276842,0.18345957514852582
03-14,3619542,254465,1541197,37,50,0.74,72390.84,5089.3,30823.94,0.07030309359581959,0.42579889941876625
03-15,3161131,160434,213276,62,71,0.8732394366197183,44522.971830985916,2259.6338028169016,3003.887323943662,0.05075208841392527,0.06746825740534006
03-16,1970892,131166,430030,54,69,0.782608695652174,28563.652173913044,1900.9565217391305,6232.31884057971,0.06655159186804756,0.2181905451947646
03-17,3800019,396635,15653786,27,53,0.5094339622641509,71698.47169811321,7483.679245283019,295354.4528301887,0.1043771096933989,4.119396771437195
03-18,3205569,183416,127313,45,76,0.5921052631578947,42178.53947368421,2413.3684210526317,1675.171052631579,0.0572179229334948,0.03971619391128377
03-19,4023260,206486,164168,56,79,0.7088607594936709,50927.3417721519,2613.746835443038,2078.0759493670885,0.051323056426877706,0.04080472055000174
03-20,3562309,190684,183432,53,68,0.7794117647058824,52386.89705882353,2804.176470588235,2697.529411764706,0.05352820319629768,0.051492444928275455
03-21,3024121,172022,158217,40,53,0.7547169811320755,57058.88679245283,3245.698113207547,2985.2264150943397,0.056883305925920294,0.05231834308217165
03-22,4807903,196461,181368,35,52,0.6730769230769231,92459.67307692308,3778.096153846154,3487.846153846154,0.040862097259449705,0.037722890832032174
03-23,2840841,156149,125457,50,72,0.6944444444444444,39456.125,2168.7361111111113,1742.4583333333333,0.05496576541946557,0.04416192247295783
03-24,1808269,135307,1211835,43,62,0.6935483870967742,29165.629032258064,2182.3709677419356,19545.725806451614,0.0748268095067714,0.6701630122509428
03-25,1941650,123852,83973,39,53,0.7358490566037735,36634.90566037736,2336.830188679245,1584.3962264150944,0.06378698529601112,0.04324826822547833
03-26,2892518,151280,96387,51,66,0.7727272727272727,43826.030303030304,2292.121212121212,1460.409090909091,0.05230045240859348,0.03332286955517649
03-27,2091821,148165,103811,54,63,0.8571428571428571,33203.50793650794,2351.8253968253966,1647.7936507936508,0.07083063034552192,0.0496270952438091
03-28,2900574,224679,95629,45,74,0.6081081081081081,39196.94594594595,3036.2027027027025,1292.2837837837837,0.07746018546673865,0.03296899165475523
03-29,1552747,119464,76310,31,46,0.6739130434782609,33755.36956521739,2597.0434782608695,1658.9130434782608,0.07693719582134115,0.04914516015809401
03-30,2149334,184270,169226,27,48,0.5625,44777.791666666664,3838.9583333333335,3525.5416666666665,0.08573353420175737,0.07873415672017471
03-31,3305321,253586,182299,44,73,0.6027397260273972,45278.3698630137,3473.780821917808,2497.246575342466,0.07672053637150522,0.055153190870115186
04-01,2111463,105781,122510,24,49,0.4897959183673469,43091.08163265306,2158.795918367347,2500.204081632653,0.050098438854955074,0.0580213813834294
04-02,1735509,123670,122383,44,54,0.8148148148148148,32139.055555555555,2290.185185185185,2266.3518518518517,0.0712586336342825,0.07051706444622298
04-03,6735171,592555,13683188,35,57,0.6140350877192983,118160.8947368421,10395.701754385966,240055.9298245614,0.08797920646706668,2.031602167190707
04-04,6120371,236925,649052,23,50,0.46,122407.42,4738.5,12981.04,0.03871088860462871,0.10604781965014866
04-05,1251350,101714,75885,31,46,0.6739130434782609,27203.260869565216,2211.1739130434785,1649.6739130434783,0.08128341391297399,0.060642506093419105
04-06,2962028,170051,215504,28,54,0.5185185185185185,54852.37037037037,3149.0925925925926,3990.814814814815,0.05741032832910425,0.07275555801633206
04-07,3227876,512842,792372,28,48,0.5833333333333334,67247.41666666667,10684.208333333334,16507.75,0.1588790895313203,0.245477831242588
04-08,1829846,122436,240772,38,71,0.5352112676056338,25772.478873239437,1724.4507042253522,3391.154929577465,0.06691054875656202,0.13158047179926616
04-09,3115636,208841,1375896,42,54,0.7777777777777778,57696.96296296296,3867.425925925926,25479.555555555555,0.06702997397642087,0.4416099955193739
04-10,1007551,65771,37490,25,37,0.6756756756756757,27231.108108108107,1777.5945945945946,1013.2432432432432,0.06527808517881477,0.03720903457988727
04-11,2728685,138152,144679,37,51,0.7254901960784313,53503.62745098039,2708.8627450980393,2836.843137254902,0.050629515682462434,0.05302151036121795
04-12,1399804,149462,104438,33,60,0.55,23330.066666666666,2491.0333333333333,1740.6333333333334,0.10677351972133242,0.07460901669090815
04-13,670750,64339,44401,37,54,0.6851851851851852,12421.296296296296,1191.462962962963,822.2407407407408,0.09592098397316437,0.06619604919865822
04-14,585356,63934,63936,26,38,0.6842105263157895,15404.105263157895,1682.4736842105262,1682.5263157894738,0.10922242191076884,0.10922583863495036
04-15,2715147,164792,106744,36,50,0.72,54302.94,3295.84,2134.88,0.06069358307303435,0.03931426180608269
04-16,1006861,76816,54754,42,61,0.6885245901639344,16505.918032786885,1259.27868852459,897.6065573770492,0.07629255676801465,0.054380892695218105
04-17,704566,61472,65306,44,57,0.7719298245614035,12360.807017543859,1078.4561403508771,1145.719298245614,0.08724803637984234,0.0926896841459849
04-18,840773,78437,65195,22,38,0.5789473684210527,22125.605263157893,2064.1315789473683,1715.657894736842,0.09329153053202231,0.07754173837647023
04-19,893885,72028,77393,24,41,0.5853658536585366,21802.073170731706,1756.780487804878,1887.6341463414635,0.08057859791807671,0.08658048854159092
04-20,1044406,79195,62234,35,57,0.6140350877192983,18322.912280701756,1389.3859649122808,1091.8245614035088,0.07582779110805568,0.05958793802410174
04-21,501778,47579,35681,32,51,0.6274509803921569,9838.78431372549,932.9215686274509,699.6274509803922,0.0948208171741288,0.07110913591269445
04-22,1038536,95764,100848,28,46,0.6086956521739131,22576.869565217392,2081.8260869565215,2192.3478260869565,0.09221057334555567,0.09710592603434065
04-23,773292,104130,219183,12,36,0.3333333333333333,21480.333333333332,2892.5,6088.416666666667,0.13465805931006658,0.283441442559861
04-24,1072264,83944,127416,28,54,0.5185185185185185,19856.74074074074,1554.5185185185185,2359.5555555555557,0.07828669059112309,0.11882894511053248
04-25,720786,78827,43752,28,56,0.5,12871.17857142857,1407.625,781.2857142857143,0.10936255698640096,0.06070040206108332
04-26,1077982,78377,89313,20,36,0.5555555555555556,29943.944444444445,2177.1388888888887,2480.9166666666665,0.0727071509542831,0.08285203277976812
04-27,816715,64408,85155,18,38,0.47368421052631576,21492.5,1694.9473684210527,2240.9210526315787,0.07886227141658964,0.10426525777045849
04-28,1224112,94899,252634,31,57,0.543859649122807,21475.64912280702,1664.8947368421052,4432.175438596491,0.07752476897538788,0.20638144222097324
04-29,1800477,111649,129803,25,55,0.45454545454545453,32735.945454545454,2029.9818181818182,2360.0545454545454,0.06201078936304102,0.07209367295444485
04-30,611166,51866,56771,20,41,0.4878048780487805,14906.487804878048,1265.0243902439024,1384.658536585366,0.0848640140321942,0.09288965681991472
05-01,865931,84331,113362,21,48,0.4375,18040.229166666668,1756.8958333333333,2361.7083333333335,0.09738766714668952,0.13091343305644446
05-02,1601567,88751,123929,22,55,0.4,29119.4,1613.6545454545455,2253.2545454545457,0.05541510283366228,0.07737984111810496
05-03,924997,82303,65938,23,52,0.4423076923076923,17788.403846153848,1582.75,1268.0384615384614,0.08897650478866417,0.07128455551747735
05-04,2781612,168431,2743153,22,43,0.5116279069767442,64688.651162790695,3917,63794.25581395349,0.060551579443862046,0.9861738445189336
05-05,1020264,106618,108502,19,52,0.36538461538461536,19620.46153846154,2050.346153846154,2086.576923076923,0.10450040381705128,0.1063469847019987
05-06,793122,62133,52470,24,50,0.48,15862.44,1242.66,1049.4,0.07833977622610393,0.06615627860530915
05-07,809433,87143,46471,30,50,0.6,16188.66,1742.86,929.42,0.10765931213577899,0.05741179319350706
05-08,1147392,96406,129987,21,45,0.4666666666666667,25497.6,2142.3555555555554,2888.6,0.08402185129406516,0.11328909387550201
05-09,665814,62602,66028,14,41,0.34146341463414637,16239.365853658537,1526.878048780488,1610.439024390244,0.0940232557440967,0.09916883694244939
05-10,921015,96848,82460,22,61,0.36065573770491804,15098.606557377048,1587.672131147541,1351.8032786885246,0.10515355341661102,0.08953165800774146
05-11,498110,57836,50150,34,53,0.6415094339622641,9398.301886792453,1091.245283018868,946.2264150943396,0.11611089919897212,0.10068057256429302
05-12,3110981,170932,1183990,24,48,0.5,64812.104166666664,3561.0833333333335,24666.458333333332,0.05494472643838069,0.3805841308577584
05-13,748009,84436,118652,21,42,0.5,17809.738095238095,2010.3809523809523,2825.0476190476193,0.1128809947473894,0.15862375987454697
05-14,684518,68713,59892,23,45,0.5111111111111111,15211.511111111111,1526.9555555555555,1330.9333333333334,0.10038158236890776,0.08749514256747083
05-15,1599571,115100,122022,26,50,0.52,31991.42,2302,2440.44,0.07195679341523446,0.07628420370211764
05-16,486477,59148,63710,14,41,0.34146341463414637,11865.292682926829,1442.6341463414635,1553.9024390243903,0.12158437089523245,0.13096199820340942
05-17,1167560,81926,119711,21,50,0.42,23351.2,1638.52,2394.22,0.07016855664805235,0.10253091918188359
05-18,970053,100865,64406,20,49,0.40816326530612246,19797,2058.469387755102,1314.408163265306,0.1039788547636057,0.06639431041396707
05-19,863503,71728,50318,25,58,0.43103448275862066,14887.98275862069,1236.6896551724137,867.551724137931,0.08306630086982905,0.05827194578362785
05-20,912681,211872,261220,20,48,0.4166666666666667,19014.1875,4414,5442.083333333333,0.2321424462654531,0.28621172129144795
05-21,1261601,130047,567903,18,52,0.34615384615384615,24261.55769230769,2500.903846153846,10921.211538461539,0.10308092653699545,0.4501446970951989
05-22,1153654,61567,177932,15,68,0.22058823529411764,16965.5,905.3970588235294,2616.6470588235293,0.053366954043413364,0.15423341833860066
05-23,961898,52246,60665,20,43,0.46511627906976744,22369.720930232557,1215.0232558139535,1410.8139534883721,0.05431553033689643,0.06306801760685644
05-24,1343130,69189,149800,20,46,0.43478260869565216,29198.478260869564,1504.108695652174,3256.521739130435,0.0515132563489759,0.11153052943497652
05-25,485208,36709,47441,17,42,0.40476190476190477,11552.57142857143,874.0238095238095,1129.547619047619,0.07565621341775074,0.09777456266178629
05-26,1086738,76295,94646,15,51,0.29411764705882354,21308.58823529412,1495.9803921568628,1855.8039215686274,0.070205514116558,0.08709182894129036
05-27,1396786,187761,124408,8,55,0.14545454545454545,25396.109090909093,3413.836363636364,2261.9636363636364,0.1344235981746667,0.08906733028538373
05-28,1907735,144374,185708,15,53,0.2830188679245283,35995,2724.0377358490564,3503.9245283018868,0.07567822574938343,0.09734475700241385
05-29,1869287,112482,93901,13,45,0.28888888888888886,41539.71111111111,2499.6,2086.688888888889,0.0601737453906222,0.050233591738454285
05-30,1690436,117488,101642,15,47,0.3191489361702128,35966.72340425532,2499.744680851064,2162.595744680851,0.06950159603794524,0.06012768303561921
05-31,1682903,93136,132379,16,50,0.32,33658.06,1862.72,2647.58,0.05534246477663894,0.07866109930281187
06-01,1843476,197538,403672,9,58,0.15517241379310345,31784.068965517243,3405.8275862068967,6959.862068965517,0.10715517858653978,0.21897328742006947
06-02,1200499,89119,81371,18,46,0.391304347826087,26097.804347826088,1937.3695652173913,1768.9347826086957,0.07423496396081962,0.06778098107536949
06-03,1311986,67508,84903,13,44,0.29545454545454547,29817.863636363636,1534.2727272727273,1929.6136363636363,0.05145481735323395,0.06471334297774518
06-04,1583082,86758,71276,15,40,0.375,39577.05,2168.95,1781.9,0.05480322560675947,0.04502356795162853
06-05,2911533,200134,341473,12,46,0.2608695652173913,63294.19565217391,4350.739130434783,7423.326086956522,0.06873835879586458,0.11728288843025307
06-06,1519878,95423,116066,8,43,0.18604651162790697,35346,2219.139534883721,2699.2093023255816,0.06278332866190575,0.07636533984964583
06-07,2260747,100100,99126,16,44,0.36363636363636365,51380.61363636364,2275,2252.8636363636365,0.044277400345991834,0.043846569297670196
06-08,973046,67687,73633,15,44,0.3409090909090909,22114.68181818182,1538.340909090909,1673.4772727272727,0.06956197343188297,0.07567268145596405
06-09,265391,20624,21059,7,20,0.35,13269.55,1031.2,1052.95,0.07771175360129016,0.07935084460286898
